otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Ada Julian Hotel Marmaris(16+),"11.340,00 TL",11000-13000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrasan La Casita Boutique Hotel,"15.600,00 TL",15000-17000,Antalya - Adrasan ,"100 km, Antalya HA ",200 - 300 Metre Arası,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Adrasan Yonca Otel,"22.075,20 TL",21000-23000,Antalya - Adrasan ,"110 km, Antalya HA ",No Info,Yok,Var,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1
Afet Hanım Konağı,"12.643,86 TL",11000-13000,Çeşme - Alaçatı ,"84 km, Adnan Menderes HA ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ala Otel Alaçatı,"23.126,40 TL",23000-25000,Çeşme - Alaçatı ,"90 km, Adnan Menderes HA ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Alaçatı Ala Konak Butik Otel,"15.000,00 TL",13000-15000,Çeşme - Alaçatı ,"90 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alaçatı Roka Taş Otel,"14.000,00 TL",13000-15000,Çeşme - Alaçatı ,"70 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alaçatı Sade Otel,"19.930,32 TL",19000-21000,Çeşme - Alaçatı ,"80 km, Adnan Menderes HA ",Uygun Değil,Halk Plajı,Yok,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Alanarin Alaçatı,"27.520,38 TL",27000-29000,Çeşme - Alaçatı ,"95 km, Adnan Menderes HA ",No Info,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ali`s Boutique Hotel,"9.000,00 TL",7000-9000,Bodrum - Ortakent-Yahşi ,"No Info km, No Info",Denize Sıfır (Aradan Yol Geçiyor),Özel Plaj,Var,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Amour Köy İçi,"17.994,00 TL",17000-19000,Çeşme - Çeşme Merkez ,"85 km, Adnan Menderes ",No Info,Halk Plajı,Yok,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anjeliq Downtown Boutique Hotel,"8.845,20 TL",7000-9000,Antalya - Alanya ,"43 km, Antalya ",No Info,Özel Plaj,Yok,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Anjeliq House Boutique Hotel,"17.239,68 TL",17000-19000,Antalya - Alanya ,"40 km, Antalya ",No Info,Özel Plaj,Yok,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
Antmare Hotel,"27.363,10 TL",27000-29000,Çeşme - Alaçatı ,"92 km, Adnan Menderes HA ",Denize Sıfır,Özel Plaj,Yok,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
Armel Alaçatı,"17.919,00 TL",17000-19000,Çeşme - Alaçatı ,"67 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aroma Butik Hotel,"11.220,00 TL",11000-13000,Antalya - Side-Kızılot ,"70 km, Antalya ",50 Metreye Kadar,Özel Plaj,Yok,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Aspat Hotel Bodrum Beach Restaurant,"7.500,00 TL",7000-9000,Bodrum - Akyarlar ,"45 km, Milas HA ",200 - 300 Metre Arası,Mavi Bayraklı Özel Plaj,Yok,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Aspen Hotel,"13.047,96 TL",13000-15000,Antalya - Kaleiçi ,"12 km, Antalya HA ",Uygun Değil,Yok,Yok,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Bambu Alaçatı,"8.640,00 TL",7000-9000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belong Butik Hotel,"20.100,00 TL",19000-21000,Çeşme - Dalyan ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Club Çapa,"12.220,62 TL",11000-13000,Antalya - Kaş-Çukurbağ Yarımadası ,"163 km, Dalaman ",Denize Sıfır,Özel Plaj,Var,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Coastline Boutique Hotel,"9.000,00 TL",7000-9000,Antalya - Konyaaltı ,"24 km, Antalya ",100 - 200 Metre Arası,Halk Plajı,Yok,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Cocopalm Boutique Hotel,"24.000,00 TL",23000-25000,Çeşme - Alaçatı ,"83 km, Adnan Menderes HA ",No Info,Halk Plajı,Yok,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Comfy Otel Antalya Lara,"3.658,18 TL",+33000,Antalya - Muratpaşa ,"9 km, Antalya ",400 - 500 Metre Arası,Yok,Yok,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Cumbalıca Beach Otel,"24.000,00 TL",23000-25000,Çeşme - Ilıca ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Çeşme Flowers Otel,"60.000,00 TL",+33000,Çeşme - Çeşme Merkez ,"No Info km, No Info",600 - 750 Metre Arası,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Çeşme Marin Butik Otel,"11.600,00 TL",11000-13000,Çeşme - Çeşme Merkez-Musalla Mahallesi ,"95 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dali Boutique Hotel,"19.950,00 TL",19000-21000,Çeşme - Dalyan ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Der Inn Hotel Lara,"23.152,86 TL",23000-25000,Antalya - Lara-Lara,"13 km, Antalya HA ",50 - 100 Metre Arası,Yok,Yok,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dolphin Butik Otel,"26.287,44 TL",25000-27000,Marmaris - Bozburun ,"140 km, Dalaman HA ",Denize Sıfır,Yok,Yok,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dolunay Suit Beach,"16.878,00 TL",15000-17000,Bodrum - Milas ,"No Info km, No Info",No Info,Özel Plaj,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dream Time Hotel,"11.356,26 TL",11000-13000,Antalya - Muratpaşa ,"9 km, Antalya ",300 - 400 Metre Arası,Yok,Yok,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Elanis Suites Hotel,"21.030,24 TL",21000-23000,Antalya - Lara-Lara Yolu ,"10 km, Antalya HA ",50 - 100 Metre Arası,Halk Plajı,Yok,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Exen By Weekend,"9.000,00 TL",7000-9000,Bodrum - Gümbet ,"38 km, Milas ",100 - 200 Metre Arası,Mavi Bayraklı Plaj,Yok,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0
Flores Hotel Alaçatı,"16.815,15 TL",15000-17000,Çeşme - Çeşme Merkez ,"84 km, Adnan Menderes ",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fora Konak Alaçatı,"17.878,85 TL",17000-19000,Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",No Info,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Giges King Boutique Hotel,"11.697,63 TL",11000-13000,Antalya - Kaleiçi ,"30 km, Antalya HA ",Uygun Değil,Yok,Yok,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Faik Hotel,"11.163,60 TL",11000-13000,Çeşme - Çeşme Merkez ,"74 km, Adnan Menderes HA ",100 - 200 Metre Arası,Halk Plajı,Yok,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Güler Butik Hotel,"3.876,00 TL",+33000,Antalya - Kemer-Beldibi ,"50 km, Antalya HA ",300 - 400 Metre Arası,Yok,Yok,15,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Gümüş Peninsula Hotel,"27.120,96 TL",27000-29000,Antalya - Kaş-Çukurbağ Yarımadası ,"200 km, Antalya HA ",50 - 100 Metre Arası,Yok,Yok,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Karden Otel,"9.471,42 TL",9000-11000,Antalya - Muratpaşa ,"14 km, Antalya ",50 - 100 Metre Arası,Yok,Yok,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaş Gardenia Hotel,"16.236,00 TL",15000-17000,Antalya - Kaş ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Kemer Park Hotel,"6.000,00 TL",5000-7000,Antalya - Kemer ,"4 km, Antalya HA ",750 Metre ve Üzeri,Yok,Yok,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kemer Suite Apart Otel,"4.200,00 TL",+33000,Antalya - Kemer ,"60 km, Antalya HA ",300 - 400 Metre Arası,Özel Plaj,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kempinski Residences Bodrum Barbaros Reserve,"241.920,00 TL",+33000,Bodrum - Yalıçiftlik ,"43 km, Milas HA ",Denize Sıfır,Özel Plaj,Yok,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Köşe Konak Hotel,"28.306,73 TL",27000-29000,Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",750 Metre ve Üzeri,Halk Plajı,Yok,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kybele Suites Alaçatı,"13.800,00 TL",13000-15000,Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",750 Metre ve Üzeri,Yok,Yok,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La Cactus Butik Otel,"11.563,20 TL",11000-13000,Antalya - Konyaaltı ,"14 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Mavi Bayraklı Özel Plaj,Yok,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
La Luna Butik Otel,"18.921,60 TL",17000-19000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Vida Triangulo Hotel,"34.500,00 TL",+33000,Çeşme - Alaçatı ,"0 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lacitrus Villa Hotel,"12.386,40 TL",11000-13000,Antalya - Kaş ,"No Info km, No Info",750 Metre ve Üzeri,Halk Plajı,Yok,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lal Azure Hotel Alaçatı,"12.000,00 TL",11000-13000,Çeşme - Alaçatı ,"70 km, Adnan Menderes ",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Garden Hotel,"6.825,33 TL",5000-7000,Antalya - Lara ,"10 km, Antalya HA ",750 Metre ve Üzeri,Özel Plaj,Yok,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lavender Otel,"6.000,00 TL",5000-7000,Çeşme - Çeşme Merkez ,"97 km, Adnan Menderes ",50 Metreye Kadar,Yok,Yok,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leaf River Suites,"17.665,50 TL",17000-19000,Antalya - Lara ,"15 km, Antalya ",750 Metre ve Üzeri,Yok,Yok,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Likya Residence Hotel Spa,"39.116,58 TL",+33000,Antalya - Kalkan ,"135 km, Antalya HA ",750 Metre ve Üzeri,Yok,Yok,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
Lilium Boutique Hotel,"18.456,05 TL",17000-19000,Antalya - Lara ,"15 km, Antalya ",750 Metre ve Üzeri,Özel Plaj,Yok,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Livaneli Boutique Hotel,"12.000,00 TL",11000-13000,Antalya - Alanya ,"120 km, Antalya ",50 Metreye Kadar,Halk Plajı,Yok,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Mon Amour Alaçatı,"11.994,00 TL",11000-13000,Çeşme - Alaçatı ,"85 km, Adnan Menderes ",750 Metre ve Üzeri,Yok,Yok,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monreve Alaçatı,"49.400,00 TL",+33000,Çeşme - Alaçatı ,"68 km, Adnan Menderes ",No Info,Yok,Yok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mons Casa Boutique Otel,"15.000,00 TL",13000-15000,Marmaris - İçmeler ,"160 km, Dalaman HA ",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Moy Side,"6.000,00 TL",5000-7000,Antalya - Side ,"70 km, Antalya ",100 - 200 Metre Arası,Halk Plajı,Yok,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
Mucho Butik Otel,"7.560,00 TL",7000-9000,Bodrum - Bodrum Merkez ,"20 km, Milas ",300 - 400 Metre Arası,Mavi Bayraklı Özel Plaj,Yok,1,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Nebilux Hotel,"10.235,28 TL",9000-11000,Antalya - Muratpaşa ,"12 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Halk Plajı,Yok,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Neva Hotel Alaçatı,"18.921,60 TL",17000-19000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No81 Hotel,"28.950,05 TL",27000-29000,Bodrum - Türkbükü ,"38 km, Milas ",Denize Sıfır,Özel Plaj,Var,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0
Olsen Hotel,"8.966,76 TL",7000-9000,Antalya - Muratpaşa ,"No Info km, No Info",No Info,Yok,Yok,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Garden Hotel,"11.826,00 TL",11000-13000,Antalya - Muratpaşa ,"14 km, Antalya ",500 - 600 Metre Arası,Halk Plajı,Yok,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Otel Gümüşlük,"15.000,00 TL",13000-15000,Bodrum - Gümüşlük ,"60 km, Milas HA ",50 - 100 Metre Arası,Yok,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Otto Palace Boutique Hotel,"16.200,00 TL",15000-17000,Antalya - Adrasan ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Payava Hotel By True Blue,"17.782,78 TL",17000-19000,Antalya - Kalkan ,"123 km, Dalaman ",200 - 300 Metre Arası,Yok,Yok,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Perast City Hotel,"21.091,26 TL",21000-23000,Antalya - Konyaaltı ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitoresk Alaçatı,"12.000,00 TL",11000-13000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puka Alaçatı,"25.228,80 TL",25000-27000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pure Blanche,"27.360,00 TL",27000-29000,Antalya - Muratpaşa ,"23 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Yok,Yok,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Ramiz Alaçatı,"12.000,00 TL",11000-13000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramona Hotel,"15.326,58 TL",15000-17000,Antalya - Lara ,"10 km, Antalya ",300 - 400 Metre Arası,Halk Plajı,Yok,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Rayana Hotel,"14.364,00 TL",13000-15000,Marmaris - Bozburun ,"135 km, Dalaman ",50 - 100 Metre Arası,Halk Plajı,Yok,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Route Hotel Adult Only +12,"13.665,60 TL",13000-15000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Hayat Hotel,"13.200,00 TL",13000-15000,Antalya - Kaleiçi ,"10 km, Antalya ",50 Metreye Kadar,Halk Plajı,Yok,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Signature Alaçatı,"59.213,14 TL",+33000,Çeşme - Alaçatı ,"76 km, Adnan Menderes ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Smart City Bodrum,"9.611,07 TL",9000-11000,Bodrum - Bodrum Merkez ,"32 km, Milas ",50 Metreye Kadar,Halk Plajı,Yok,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Swan Boutique Hotel,"25.228,80 TL",25000-27000,Bodrum - Bodrum Merkez ,"37 km, Milas ",200 - 300 Metre Arası,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Tangiers Hotel Yalıkavak,"13.402,77 TL",13000-15000,Bodrum - Yalıkavak ,"52 km, Milas ",Denize Sıfır (Aradan Yol Geçiyor),Halk Plajı,Yok,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarçın Alaçatı Otel,"16.118,40 TL",15000-17000,Çeşme - Alaçatı ,"90 km, Adnan Menderes ",No Info,Yok,Yok,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thats Alaçatı,"25.697,58 TL",25000-27000,Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",No Info,Halk Plajı,Yok,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Farrys Boutique Hotel,"19.552,32 TL",19000-21000,Bodrum - Yalıkavak ,"25 km, Milas ",Denize Sıfır,Özel Plaj,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Hill Glamping,"10.912,50 TL",9000-11000,Antalya - Çıralı ,"95 km, Antalya ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
The Hotel 48,"7.573,02 TL",7000-9000,Bodrum - Bodrum Merkez ,"31 km, Milas Bodrum HA ",50 - 100 Metre Arası,Yok,Yok,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Local House Alaçatı,"43.940,16 TL",+33000,Çeşme - Alaçatı ,"67 km, Adnan Menderes ",No Info,Yok,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
The Luxury Shelters,"21.000,00 TL",19000-21000,Antalya - Kaş ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toll Garden,"13.531,50 TL",13000-15000,Antalya - Side ,"65 km, Antalya HA ",50 Metreye Kadar,Yok,Yok,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
True Blue Boutique Hotel,"26.542,94 TL",25000-27000,Antalya - Kalkan ,"220 km, Antalya HA ",200 - 300 Metre Arası,Halk Plajı,Yok,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Türkay Hotel,"18.000,00 TL",17000-19000,Antalya - Konyaaltı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Un Amor Hotel +16 Adults Only,"13.500,00 TL",13000-15000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Via Perla Butik Otel,"20.400,00 TL",19000-21000,Çeşme - Çeşme Merkez ,"95 km, Adnan Menderes ",400 - 500 Metre Arası,Yok,Yok,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Viento Hotel Alaçatı,"38.400,00 TL",+33000,Çeşme - Alaçatı ,"95 km, Adnan Menderes HA ",750 Metre ve Üzeri,Yok,Yok,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Villa Oliva Butik Hotel,"31.536,00 TL",29000-33000,Bodrum - Gündoğan ,"39 km, Milas HA ",No Info,Halk Plajı,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Villa Peri Alaçatı,"12.474,60 TL",11000-13000,Çeşme - Alaçatı ,"84 km, Adnan Menderes HA ",No Info,Halk Plajı,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Villamer Alaçatı,"16.819,20 TL",15000-17000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vintage Hotel Alaçatı,"43.581,00 TL",+33000,Çeşme - Alaçatı ,"70 km, Adnan Menderes ",Uygun Değil,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voger Köyiçi,"41.574,84 TL",+33000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind Of Alaçatı,"11.160,00 TL",11000-13000,Çeşme - Alaçatı ,"90 km, Adnan Menderes ",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
