otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Sirius Deluxe Hotel,21120.0,110,0.0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,Antalya , Alanya 
Sueno Hotels Beach Side,27000.0,60,0.0,1.0,6,1,1,1,6,1,1,13,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Sorgun 
Sunis Elita Beach Resort Spa,27840.0,81,0.0,1.0,5,1,1,1,3,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Side-Kızılağaç 
Sunis Evren Beach Resort Hotel,27000.0,60,0.0,0.0,5,1,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Side-Evrenseki 
Susesi Luxury Resort,60480.0,35,0.0,1.0,6,1,4,3,4,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Belek-İskele 
The Lumos Deluxe,22201.5,155,100.0,1.0,2,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Alanya-Kargıcak 
Trendy Palm Beach,25312.5,60,0.0,0.0,3,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,Antalya , Side-Kumköy 
Tui Magic Life Belek,24097.5,25,0.0,0.0,4,0,1,1,1,0,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Belek 
Turunç Premium Hotel,23400.0,120,0.0,1.0,1,1,1,1,1,1,1,5,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,Marmaris , Turunç 
Venezia Palace Deluxe Resort Hotel,30170.2,15,0.0,1.0,3,1,1,1,2,1,1,8,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,Antalya , Lara-Kundu 
Vonresort Elite,32400.0,55,0.0,1.0,7,1,1,1,3,1,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Vonresort Golden Beach,27000.0,55,200.0,1.0,7,0,1,1,3,0,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Vonresort Golden Coast,29700.0,55,0.0,1.0,7,1,1,1,3,1,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Çolaklı 
Wome Deluxe Hotel,31239.0,70,0.0,1.0,1,1,1,1,12,1,0,4,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,Antalya , Alanya-Avsallar 
Adalya Resort Spa Adults Only,28017.4,65,0.0,0.0,3,1,1,1,2,1,1,5,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Azure Villas By Cornelia,168300.0,35,50.0,1.0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,Antalya , Belek-İskele 
Beach Club Doğanay,21494.1,45,,1.0,1,1,1,1,2,1,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,Antalya , Alanya-Konaklı 
Hedef Resort Hotel Spa,10822.5,110,100.0,1.0,3,1,1,1,2,1,1,3,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Konaklı 
Orange County Belek,17923.2,35,0.0,1.0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,Antalya , Belek 
Seven Seas Hotel Blue,23400.0,70,0.0,0.0,3,1,1,1,4,0,1,8,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Side-Titreyengöl 
Side Royal Palace Hotel Spa,26999.7,58,200.0,0.0,3,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,Antalya , Side-Evrenseki 
Tui Magic Life Jacaranda,33540.0,65,0.0,0.0,5,1,5,2,7,1,1,6,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Novum Garden Side Hotel,28203.0,55,200.0,0.0,1,1,1,1,1,1,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side 
Side Breeze,19800.0,55,200.0,0.0,0,0,2,0,0,0,0,5,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,Antalya , Side 
Telatiye Resort Hotel,13291.2,110,50.0,0.0,2,1,1,1,2,1,0,3,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Konaklı 
Villa Side Residence,18900.0,60,200.0,0.0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,Antalya , Side-Manavgat 
Alaiye Kleopatra Hotel,12119.6,45,100.0,0.0,0,1,1,1,1,1,1,3,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,Antalya , Alanya-Kleopatra 
Amon Hotels Belek,18711.0,25,750.0,0.0,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,Antalya , Belek 
Ares Dream Hotel,8178.0,50,200.0,0.0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Antalya , Kemer-Merkez 
Asrın Beach Hotel,9517.5,100,0.0,0.0,1,1,1,1,1,1,0,4,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,Antalya , Alanya-İncekum 
Club Hotel Rama,22325.7,45,0.0,1.0,0,1,1,1,2,0,0,2,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Kemer-Beldibi 
Elamir Resort Hotel,16200.0,55,100.0,0.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,Antalya , Kemer 
Get Enjoy Hotels,9450.0,40,200.0,0.0,0,1,1,1,2,0,0,3,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Kemer-Beldibi 
Hedef Kleopatra Hotel,15687.0,110,100.0,0.0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,Antalya , Alanya 
Justiniano Club Alanya,20250.0,90,0.0,0.0,2,0,1,1,2,1,0,4,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,Antalya , Alanya-Okurcalar 
Larissa Sultans Beach Hotel,20520.0,65,50.0,0.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,Antalya , Kemer-Çamyuva 
Mysea Hotels İncekum,9801.0,100,0.0,0.0,0,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Alanya-Türkler 
The X Belek,21740.1,27,750.0,0.0,4,0,1,1,1,1,0,4,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Belek-Serik 
Antique Roman Palace +16,13365.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Astoria Hotel,12105.0,55,200.0,0.0,0,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Merkez 
Club Mermaid Village,8141.2,110,500.0,0.0,1,1,1,1,3,1,0,4,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Türkler 
Hane Family Resort Hotel,15257.7,60,300.0,0.0,1,1,1,1,8,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Kumköy 
Hoşça Kal Alaçatı,30000.0,0,,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Çeşme , Alaçatı 
Miramor Garden Resort,12105.0,65,200.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,Antalya , Kemer-Kiriş 
Museum Resort Spa,5292.0,35,750.0,0.0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,Bodrum , Bodrum Merkez-Azmakbaşı 
Mysea Hotels Alara,64161.9,100,0.0,0.0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Side Su Hotel,21802.5,60,200.0,0.0,0,1,1,0,3,0,1,3,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,Antalya , Side 
Flora Bodrum Hotel,11700.0,35,50.0,0.0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Bodrum , Gümbet 
Malibu Resort Hotel,7194.0,70,300.0,0.0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,Antalya , Kemer-Kiriş 
Feniks Hotel +12 Adult Only,20412.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Le Meridien Bodrum Beach Resort,42083.1,15,0.0,1.0,0,1,1,1,1,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,Bodrum , Adabükü 
Rubi Platinum Sign,45818.2,104,0.0,1.0,2,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,Antalya , Alanya-Türkler 
Sentido Lycus Beach,16005.8,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Side Square Hotel,15321.6,0,,0.0,0,1,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,Antalya , Side 
Akay Garden Family Club,8212.5,80,750.0,0.0,0,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,Çeşme , Ildır 
Elamir Beach Bungalow,10631.2,55,50.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,Antalya , Kemer 
Adin Beach Hotel,33120.0,105,0.0,1.0,3,1,1,2,6,2,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,Antalya , Alanya-İncekum 
Green Garden Resort Hotel,24480.0,133,,0.0,1,1,1,1,6,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-Obagöl 
Suess Alaçatı,18000.0,90,750.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Çeşme , Alaçatı 
Adenya Hotel Resort,33870.6,65,0.0,1.0,2,1,1,1,7,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,Antalya , Alanya-Türkler 
Champion Holiday Village,30801.6,45,0.0,1.0,2,1,1,1,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Beldibi 
Commodore Elite Suites Spa,43621.2,55,0.0,0.0,2,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,Antalya , Side-Evrenseki 
Hotel Turan Prince,24576.0,55,0.0,1.0,3,1,1,1,3,1,0,11,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Side 
İncekum Beach Resort,24990.0,98,0.0,1.0,2,0,2,1,2,1,1,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Antalya , Alanya-İncekum 
Juju Premier Palace (Ex. Amara Premier Palace),32400.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Kempinski Hotel Barbaros Bay,52293.6,38,0.0,1.0,3,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,Bodrum , Yalıçiftlik 
Lonicera Resort Spa Hotel,21017.7,98,0.0,0.0,1,1,1,1,4,2,1,11,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Avsallar 
Modern Saraylar Halal Hotel Spa,15345.0,103,750.0,0.0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Alanya-Avsallar 
Sailors Beach Club,20808.0,65,0.0,1.0,2,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,Antalya , Kemer-Kiriş 
Seaden Quality Resort,35955.0,64,0.0,0.0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Bingeşik 
Sentido Kamelya Fulya Hotel,30723.0,55,0.0,0.0,5,1,1,1,8,4,0,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Sentido Kamelya Selin Hotel,31744.4,55,0.0,0.0,6,1,1,1,5,2,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Hedef Beach Resort Spa,18450.0,100,100.0,0.0,3,0,1,1,1,1,1,5,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,Antalya , Alanya-Konaklı 
Seashell Resort Spa Hotel,31900.8,55,0.0,0.0,3,1,1,1,1,1,1,4,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Evrenseki 
Side Star Beach,19744.4,65,0.0,0.0,3,1,1,1,1,0,1,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Manavgat 
Mgallery The Bodrum Hotel Yalıkavak,1754202.7,53,0.0,1.0,2,1,1,1,1,1,1,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,Bodrum , Yalıkavak 
Kamelya Aishen K Club,24059.7,55,0.0,0.0,6,1,9,1,7,2,0,13,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Trendy Side Beach,23400.0,65,0.0,0.0,2,1,1,1,1,1,1,2,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,Antalya , Side-Denizbükü 
Oscar Seaside Hotel Spa,6750.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bodrum , Güvercinlik 
Ayayorgi Hotel By T,12276.0,97,750.0,0.0,1,1,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Çeşme , Çeşme Merkez 
Baldan Suites,110694.0,130,0.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Marmaris , Bozburun 
Golden Key Bördübet,47994.0,125,500.0,1.0,2,0,2,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,Marmaris , Bördübet 
Adalya Art Side Hotel,14641.8,60,300.0,0.0,5,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Akra Hotel,23010.0,15,0.0,1.0,1,1,1,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,Antalya , Lara 
Altın Yunus Hotel Spa – Çeşme,18225.0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Null,
Annabella Diamond Hotel Spa,13770.0,60,0.0,0.0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-İncekum 
Aska Lara Resort Spa,32140.8,12,500.0,1.0,5,1,1,1,4,2,1,8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Kundu 
Aydınbey King`s Palace Hotel,36354.0,60,0.0,0.0,2,1,1,1,3,1,1,6,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,Antalya , Side-Evrenseki 
Belconti Resort Hotel,31356.5,30,0.0,0.0,3,1,2,4,2,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,Antalya , Belek-İskele 
Blue Marlin Deluxe Spa Resort,16848.0,55,100.0,1.0,0,1,1,1,2,1,1,4,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Konaklı 
Cape Bodrum Luxury Hotel Beach,50400.0,45,0.0,1.0,2,1,1,1,1,1,1,3,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,Bodrum , Gündoğan 
Club Hotel Turan Prince World,24960.0,75,0.0,1.0,3,0,1,1,3,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Side-Kızılağaç 
Corendon Playa Kemer,25855.2,40,0.0,1.0,2,1,1,1,1,1,1,6,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Kemer-Beldibi 
Doubletree By Hilton Antalya City Centre,22500.0,15,,0.0,1,1,1,2,1,1,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Antalya , Antalya Merkez-Muratpaşa 
Doubletree By Hilton Bodrum Işıl Club Resort,18236.0,25,0.0,1.0,2,1,1,1,1,0,0,5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Bodrum , Torba-Kaynar Mevkii 
Elegance Hotel Marmaris,23625.0,95,0.0,1.0,2,1,0,1,2,0,1,4,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,Marmaris , Siteler 
Emelda Sun Club,20768.4,70,0.0,1.0,4,1,1,1,2,0,1,9,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Kemer-Çamyuva 
Galeri Resort Hotel,24112.8,90,0.0,1.0,4,1,1,1,1,1,1,7,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Green Nature Diamond,23400.0,90,0.0,0.0,3,1,1,1,1,1,0,8,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Marmaris , Siteler 
Kirman Calyptus Resort Spa,21000.0,60,400.0,1.0,2,1,1,1,1,1,0,6,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,Antalya , Side 
Kirman Leodikya Resort,26250.0,90,0.0,0.0,1,1,1,1,1,1,1,7,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
